iter,t_granted,state,P_total,Q_total,updated,n_feeders,Vmag,Vang_rad
138,0.9,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
139,0.91,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
140,0.92,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
141,0.93,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
142,0.94,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
143,0.95,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
144,0.96,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
145,0.97,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
146,0.98,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
147,0.99,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
148,1.0,NEXT_STEP,1.0269,0.1782,0,10,0.947199,-0.016122
149,1.01,NEXT_STEP,1.0269,0.1782,0,10,0.28325,-0.02336
150,1.01,ITERATING,0.7346,0.1113,10,10,0.664357,0.052802
151,1.01,ITERATING,0.674,0.0977,10,10,0.669071,0.091644
152,1.01,ITERATING,0.6287,0.0877,10,10,0.670866,0.099763
153,1.01,ITERATING,0.5944,0.0801,10,10,0.672221,0.105638
154,1.01,ITERATING,0.5683,0.0745,10,10,0.673242,0.110083
155,1.01,ITERATING,0.5483,0.0702,10,10,0.674024,0.113506
156,1.01,ITERATING,0.533,0.0669,10,10,0.674619,0.116131
157,1.01,ITERATING,0.5212,0.0644,10,10,0.675078,0.11816
158,1.01,ITERATING,0.5121,0.0624,10,10,0.675431,0.11973
159,1.01,ITERATING,0.5049,0.0609,10,10,0.675707,0.120961
160,1.01,ITERATING,0.4995,0.0598,10,10,0.675917,0.121899
161,1.01,ITERATING,0.4951,0.0588,10,10,0.676087,0.122657
162,1.01,ITERATING,0.4917,0.0581,10,10,0.676217,0.123239
163,1.01,ITERATING,0.4892,0.0576,10,10,0.676314,0.123674
164,1.01,ITERATING,0.487,0.0571,10,10,0.676397,0.12405
165,1.01,ITERATING,0.4855,0.0568,10,10,0.676455,0.12431
166,1.01,ITERATING,0.4842,0.0565,10,10,0.676507,0.124541
167,1.01,ITERATING,0.4831,0.0563,10,10,0.676547,0.124719
168,1.01,ITERATING,0.4825,0.0562,10,10,0.676573,0.124833
169,1.01,ITERATING,0.4818,0.056,10,10,0.676598,0.124947
170,1.01,ITERATING,0.4813,0.0559,10,10,0.676617,0.125033
171,1.01,ITERATING,0.481,0.0559,10,10,0.676629,0.12509
172,1.01,ITERATING,0.4807,0.0558,10,10,0.676642,0.125147
173,1.01,ITERATING,0.4805,0.0558,10,10,0.676648,0.125176
174,1.01,ITERATING,0.4803,0.0557,10,10,0.676655,0.125204
175,1.01,ITERATING,0.4802,0.0557,10,10,0.676661,0.125233
176,1.01,ITERATING,0.48,0.0557,10,10,0.676667,0.125261
177,1.01,ITERATING,0.48,0.0557,10,10,0.676667,0.125261
178,1.01,ITERATING,0.4798,0.0556,10,10,0.676674,0.12529
179,1.01,ITERATING,0.4798,0.0556,10,10,0.676673,0.12529
180,1.01,ITERATING,0.4798,0.0556,10,10,0.676673,0.12529
181,1.01,ITERATING,0.4798,0.0556,10,10,0.676673,0.12529
182,1.01,ITERATING,0.4797,0.0556,10,10,0.67668,0.125319
183,1.01,ITERATING,0.4797,0.0556,10,10,0.67668,0.125318
184,1.01,ITERATING,0.4797,0.0556,10,10,0.67668,0.125318
185,1.01,ITERATING,0.4797,0.0556,10,10,0.67668,0.125318
186,1.01,ITERATING,0.4797,0.0556,10,10,0.67668,0.125318
187,1.01,ITERATING,0.4797,0.0556,10,10,0.67668,0.125318
188,1.01,ITERATING,0.4797,0.0556,10,10,0.67668,0.125318
189,1.01,ITERATING,0.4797,0.0556,10,10,0.67668,0.125318
190,1.01,ITERATING,0.4797,0.0556,10,10,0.67668,0.125318
191,1.02,NEXT_STEP,0.4797,0.0556,10,10,0.282816,-0.033517
192,1.02,ITERATING,0.4797,0.0556,10,10,0.675835,0.095137
193,1.02,ITERATING,0.3566,0.0306,10,10,0.682751,0.145965
194,1.02,ITERATING,0.3795,0.0351,10,10,0.682016,0.143088
195,1.02,ITERATING,0.4003,0.0393,10,10,0.681229,0.139461
196,1.02,ITERATING,0.4172,0.0427,10,10,0.680572,0.136412
197,1.02,ITERATING,0.4308,0.0455,10,10,0.680039,0.133952
198,1.02,ITERATING,0.4416,0.0477,10,10,0.679615,0.132003
199,1.02,ITERATING,0.4502,0.0495,10,10,0.679275,0.130445
200,1.02,ITERATING,0.4569,0.0508,10,10,0.679013,0.129247
201,1.02,ITERATING,0.4622,0.052,10,10,0.678801,0.12828
202,1.02,ITERATING,0.4665,0.0528,10,10,0.678632,0.127514
203,1.02,ITERATING,0.4698,0.0535,10,10,0.678502,0.126922
204,1.02,ITERATING,0.4724,0.0541,10,10,0.678397,0.126448
205,1.02,ITERATING,0.4744,0.0545,10,10,0.678318,0.126091
206,1.02,ITERATING,0.476,0.0548,10,10,0.678253,0.125794
207,1.02,ITERATING,0.4774,0.0551,10,10,0.678201,0.125561
208,1.02,ITERATING,0.4784,0.0553,10,10,0.678161,0.125384
209,1.02,ITERATING,0.479,0.0555,10,10,0.678136,0.12527
210,1.02,ITERATING,0.4797,0.0556,10,10,0.678111,0.125155
211,1.02,ITERATING,0.4802,0.0557,10,10,0.678092,0.125069
212,1.02,ITERATING,0.4805,0.0558,10,10,0.67808,0.125012
213,1.02,ITERATING,0.4809,0.0558,10,10,0.678067,0.124955
214,1.02,ITERATING,0.481,0.0559,10,10,0.678061,0.124926
215,1.02,ITERATING,0.4812,0.0559,10,10,0.678054,0.124897
216,1.02,ITERATING,0.4813,0.0559,10,10,0.678048,0.124869
217,1.02,ITERATING,0.4815,0.056,10,10,0.678042,0.12484
