iter,outer_iter,t_granted,cosim_dt,tx_tds_step,state,updated,P_total,Q_total,Vmag,Vang_rad,fault_idx,fault_bus,fault_active,fault_rf,fault_xf,fault_bus_vmag,fault_bus_vang_rad,event_line_idx,event_bus1,event_bus2,event_line_status,event_bus1_vmag,event_bus1_vang_rad,event_bus2_vmag,event_bus2_vang_rad,event_bus_angle_diff_deg,postfault_line_idx,postfault_bus1,postfault_bus2,postfault_line_status,delta_min_deg,delta_max_deg,delta_spread_deg,delta_min_idx,delta_min_bus,delta_max_idx,delta_max_bus,omega_min_pu,omega_max_pu,omega_max_dev,omega_min_idx,omega_min_bus,omega_max_idx,omega_max_bus,vf_min_pu,vf_max_pu,vf_min_idx,vf_min_bus,vf_max_idx,vf_max_bus,omega_GENROU_1_pu,omega_GENROU_1_bus,omega_GENROU_2_pu,omega_GENROU_2_bus,omega_GENROU_3_pu,omega_GENROU_3_bus,omega_GENROU_4_pu,omega_GENROU_4_bus,omega_GENROU_5_pu,omega_GENROU_5_bus
27,1,0.06,0.003,0.03,NEXT_STEP,0,0.0358463223064505,0.0172869914641516,1.0086703712456764,-0.177388248196782,Fault_Interface,14,0.0,0.0,0.3,1.0086703712456764,-0.177388248196782,,,,,,,,,,,,,,10.947320231857905,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854503620973467,1.994145679901144,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
28,1,0.063,0.003,0.03,NEXT_STEP,0,0.0358463223064505,0.0172869914641516,1.0086703704985085,-0.177388248936197,Fault_Interface,14,0.0,0.0,0.3,1.0086703704985085,-0.177388248936197,,,,,,,,,,,,,,10.947320231857905,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854503669200378,1.994145725881589,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
29,1,0.066,0.003,0.03,NEXT_STEP,0,0.0358463223064505,0.0172869914641516,1.0086703697857995,-0.1773882496472094,Fault_Interface,14,0.0,0.0,0.3,1.0086703697857995,-0.1773882496472094,,,,,,,,,,,,,,10.947320231857905,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854503714740064,1.994145770842032,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
30,1,0.069,0.003,0.03,NEXT_STEP,0,0.0358463223064505,0.0172869914641516,1.008670369106803,-0.1773882503311334,Fault_Interface,14,0.0,0.0,0.3,1.008670369106803,-0.1773882503311334,,,,,,,,,,,,,,10.947320231857905,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854503757763604,1.9941458145685955,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
31,1,0.072,0.003,0.03,NEXT_STEP,0,0.0358463223064505,0.0172869914641516,1.008670368459921,-0.1773882509891365,Fault_Interface,14,0.0,0.0,0.3,1.008670368459921,-0.1773882509891365,,,,,,,,,,,,,,10.947320231857905,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854503798446976,1.994145856899276,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
32,1,0.075,0.003,0.03,NEXT_STEP,0,0.0358463223064505,0.0172869914641516,1.0086703678444924,-0.1773882516224927,Fault_Interface,14,0.0,0.0,0.3,1.0086703678444924,-0.1773882516224927,,,,,,,,,,,,,,10.947320231857905,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854503836890378,1.9941458977178543,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
33,1,0.078,0.003,0.03,NEXT_STEP,0,0.0358463223064505,0.0172869914641516,1.0086703672593826,-0.1773882522322862,Fault_Interface,14,0.0,0.0,0.3,1.0086703672593826,-0.1773882522322862,,,,,,,,,,,,,,10.947320231857905,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854503873366334,1.9941459369477577,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
34,1,0.081,0.003,0.03,NEXT_STEP,0,0.0358463223064505,0.0172869914641516,1.00867036670315,-0.1773882528193991,Fault_Interface,14,0.0,0.0,0.3,1.00867036670315,-0.1773882528193991,,,,,,,,,,,,,,10.947320231857905,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854503907952414,1.9941459745459704,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
35,1,0.084,0.003,0.03,NEXT_STEP,0,0.0358463223064505,0.0172869914641516,1.008670366175029,-0.177388253384683,Fault_Interface,14,0.0,0.0,0.3,1.008670366175029,-0.177388253384683,,,,,,,,,,,,,,10.947320231857905,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854503940758157,1.9941460104973123,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
36,1,0.087,0.003,0.03,NEXT_STEP,0,0.0358463223064505,0.0172869914641516,1.0086703656740712,-0.1773882539290213,Fault_Interface,14,0.0,0.0,0.3,1.0086703656740712,-0.1773882539290213,,,,,,,,,,,,,,10.947320231857905,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854503971894362,1.994146044809147,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
